price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
329000,35352,Bratislava IV Dúbravka,Pri Hrubej lúke,93,,False,novostavba,Novostavba,3 izbový byt,predaj,True,True,,,
174000,,Modra,Družstevná,,,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
,,Bratislava III Nové Mesto,ČS Parašutistov,51,5/6,True,čiastočná rekonštrukcia,,2 izbový byt,predaj,True,True,,,
369000,46132,Bratislava II Ružinov časť Nivy,Martinčekova,80,4/0,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,False,panel,85,
330000,35872,Bratislava II Ružinov,Súmračná,92,3/6,True,novostavba,Novostavba,3 izbový byt,predaj,True,False,,,
469800,68482,Bratislava I Staré Mesto,Gaštanová,68,,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,tehla,,
362900,89272,Bratislava I Staré Mesto,Gaštanová,40,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,tehla,,
184900,38492,Bratislava V Petržalka,Kopčianska,48,7/12,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,tehla,,
469000,34872,Bratislava I Staré Mesto,Živnostenská,134,2/6,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,True,zmiešaný,,
217900,32522,Bratislava V Petržalka časť Ovsište,Medveďovej,67,,False,pôvodný,,3 izbový byt,predaj,False,False,,,
39900,867392,Bulharsko,Slnečné pobrežie,46,6/0,True,kompletná rekonštrukcia,,Garsónka,predaj,True,False,,,
357930,,Bratislava I Staré Mesto,Mlynské nivy,,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
58000,920632,Bulharsko,Slnečné pobrežie,63,2/0,True,kompletná rekonštrukcia,,1 izbový byt,predaj,True,False,,,
51900,865002,Bulharsko,Slnečné pobrežie,60,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,True,False,,,
145000,36252,Bratislava III Nové Mesto,Nobelova,40,1/7,True,čiastočná rekonštrukcia,,2 izbový byt,predaj,False,False,panel,,
219900,41272,Bratislava IV Karlova Ves,Ľudovíta Fullu,53,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
219000,31742,Bratislava V Petržalka,,69,,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
377544,54262,Bratislava II Ružinov časť Prievoz,Mierová,69,4/8,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,,,
223479,55192,Bratislava II Ružinov,Mierová,40,2/8,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,,,
202216,56932,Bratislava II Ružinov časť Prievoz,Mierová,35,1/8,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,,,
179900,32042,Trnava,Odbojárska,56,1/0,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,,,
159900,35532,Trnava,Pri kalvárii,45,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
189900,33322,Trnava,Pri kalvárii,57,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
229900,32382,Košice I Staré Mesto - Centrum,Kpt.Nálepku,71,1/0,True,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,panel,71,
278000,29892,Banská Bystrica,,93,1/4,True,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
183000,24082,Banská Bystrica,,76,2/4,False,pôvodný,,3 izbový byt,predaj,False,False,,,
227000,42472,Bratislava IV Karlova Ves,Jána Stanislava,53,,True,novostavba,Novostavba,2 izbový byt,predaj,True,True,,,
169000,32192,Bratislava II Podunajské Biskupice časť Dolné hony,Dudvážska,52,,True,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,panel,,
177000,30872,Bratislava IV Devínska Nová Ves časť Paulinské,Opletalova,57,4/4,False,kompletná rekonštrukcia,,2 izbový byt,predaj,True,False,,,
149900,31182,Bratislava II Vrakuňa,Čiližská,48,7/13,True,čiastočná rekonštrukcia,,2 izbový byt,predaj,True,True,,,
469000,56172,Bratislava II Ružinov,Prístavná,83,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
430000,19992,Bratislava IV Dúbravka,Bazovského,215,2/0,False,pôvodný,,5 izbový byt a viac,predaj,False,False,panel,270,
,,Trnava,Kapitulská 22,116,,True,novostavba,Novostavba,4 izbový byt,predaj,True,True,,,130
199900,25962,Nitra,Dlhá,77,1/4,True,novostavba,Novostavba,3 izbový byt,predaj,True,True,,,
288000,,Nitra,Mikova Ves,78,4/4,True,,Novostavba,4 izbový byt,predaj,True,True,,,
209900,34982,Nitra,Podzámska,60,,True,novostavba,Novostavba,2 izbový byt,predaj,True,True,,,
319100,37992,Nitra,podzámska,84,,True,novostavba,Novostavba,3 izbový byt,predaj,True,True,,,
